C000001_da_000	Militært arbejde
C000942_da_000	urreparatør
C000942_da_001	urmager
C000943_da_000	gartnerimedarbejder
C000943_da_001	faglært gartner
C000943_da_002	frugtplukker
C000943_da_003	gartneriassistent
C000943_da_004	medarbejder i gartneri
C000944_da_000	regissør
C000944_da_001	produktionskoordinator
C000944_da_002	sceneinstruktør
C000944_da_003	scenekoordinator
C000945_da_000	bager
C000945_da_001	bagermester
C000945_da_002	bagersvend
C000945_da_003	konditor
C000946_da_000	operatør af vandbehandlingsanlæg
C000947_da_000	naturfagslærer på gymnasieniveau
C000947_da_001	gymnasielærer i naturfag
C000948_da_000	revisor
C000948_da_001	auditor
C000949_da_000	hotelconcierge
C000949_da_001	ansvarlig for serviceydelser til gæster
C000949_da_002	ansvarlig for støttetjenester til gæster
C000949_da_003	dørvogter
C000949_da_004	portner
C000950_da_000	formuleringskemiker
C000951_da_000	eventmanager
C000951_da_001	eventkoordinator
C000951_da_002	eventmager
C000951_da_003	eventplanlægger
C000952_da_000	butikschef inden for medicinalvarer
C000952_da_001	apoteker
C000953_da_000	sundheds- og sikkerhedsinspektør inden for transport
C000953_da_001	sundheds- og sikkerhedsansvarlig inden for vejtransport
C000954_da_000	operatør ved anlæg til behandling af flydende affald
C000955_da_000	procesoperatør - produktion af fodtøj
C000956_da_000	chef for planteavl
C000956_da_001	chef for afgrødefremstilling
C000956_da_002	chef for produktion af planter
C000956_da_003	leder for planteavl
C000957_da_000	tekniker til forædling af tekstiler
C000957_da_001	garntekniker
C000957_da_002	operatør af maskine til blegning
C000957_da_003	procesoperatør
C000957_da_004	tekstiltekniker
C000957_da_005	tilsynsførende - tekstilbranchen
C000957_da_006	trikotagetekniker
C000958_da_000	landbrugsmaskinfører
C000958_da_001	landbrugsmaskinmedarbejder
C000958_da_002	maskinfører til landbrugsmaskiner
C000958_da_003	operatør af landbrugsudstyr
C000958_da_004	operatør til landbrugsmaskiner
C000959_da_000	illustrator
C000959_da_001	grafiker
C000959_da_002	karrikaturtegner
C000959_da_003	tegner
C000959_da_004	tegneserietegner
C000960_da_000	vindenergiingeniør
C000960_da_001	vindkraftingeniør
C000960_da_002	vindmølleingeniør
C000961_da_000	brandkøretøjsfører
C000961_da_001	brandbilschauffør
C000961_da_002	brandbilsfører
C000961_da_003	sprøjtefører
C000961_da_004	udrykningschauffør
C000962_da_000	standin
C000962_da_001	dubleant
C000962_da_002	stand-in
C000962_da_003	stedfortrædende skuespiller
C000962_da_004	stedfortræder
C000962_da_005	stuntdubleant
C000963_da_000	lektor i sygepleje
C000963_da_001	lektor i sundhedspleje
C000964_da_000	snerydder
C000964_da_001	chauffør til sneplov
C000965_da_000	geoteknisk ingeniør
C000965_da_001	geoingeniør
C000965_da_002	geotekniker
C000965_da_003	ingeniørgeolog
C000966_da_000	landmand med blandet drift
C000966_da_001	landbruger med blandet drift
C000966_da_002	landmand
C000966_da_003	landmand, blandet drift
C000967_da_000	kvalitetsinspektør inden for elektrisk udstyr
C000967_da_001	kvalitetskontrollør inden for elektrisk udstyr
C000967_da_002	testingeniør (el)
C000968_da_000	konstruktør af produktionsudstyr
C000968_da_001	designer af produktionsmaskinel
C000968_da_002	designer af produktionsudstyr
C000968_da_003	konstruktør af produktionsmaskinel
C000968_da_004	produktionsingeniør
C000968_da_005	produktionstekniker
C000969_da_000	operatør af tromlemaskine
C000969_da_001	karvasker
C000969_da_002	operatør af maskinvask
C000969_da_003	operatør af vaskemaskine
C000969_da_004	produktionsvaskearbejder
C000969_da_005	vaskemaskineoperatør
C000970_da_000	meteorolog
C000971_da_000	kurator i zoo
C000971_da_001	akvariechef
C000971_da_002	direktør for zoologisk have
C000971_da_003	konservator
C000971_da_004	leder af pattedyrsafdeling
C000972_da_000	teknisk tegner inden for luftfartsindustrien
C000972_da_001	luftfartsdesigner
C000973_da_000	industribrandmand
C000974_da_000	garver
C000974_da_001	operatør af garvemaskine
C000974_da_002	procesoperatør
C000975_da_000	lædertilskærer
C000976_da_000	elektrotekniker inden for søfart
C000976_da_001	elektronikreparatør
C000976_da_002	marineelektriker
C000976_da_003	skibselektriker
C000977_da_000	discjockey
C000977_da_001	DJ
C000978_da_000	fundraisingassistent
C000978_da_001	fundraiser
C000978_da_002	fundraisingmedarbejder
C000978_da_003	fundraisingsekretær
C000979_da_000	reparatør af sportsudstyr
C000980_da_000	ergonom
C000980_da_001	ergoterapeut
C000981_da_000	operatør af en slibemaskine
C000981_da_001	industrioperatør
C000981_da_002	jern- og metalsliber
C000981_da_003	maskinoperatør, slibemaskine
C000981_da_004	maskinpasser, slibemaskine
C000981_da_005	metalsliber
C000981_da_006	metalsmed
C000981_da_007	operatør af en CNC-slibemaskine
C000981_da_008	operatør af en polermaskine
C000981_da_009	opstiller, slibemaskine
C000981_da_010	sliber
C000982_da_000	bilkonstruktør
C000982_da_001	autotekniker
C000982_da_002	bildesigner
C000983_da_000	forvalter af udgivelsesrettigheder
C000983_da_001	rettighedschef
C000984_da_000	e-handelschef
C000984_da_001	e-commerce manager
C000984_da_002	postordre- og internetchef
C000984_da_003	postordrechef
C000985_da_000	specialstyrkeofficer
C000985_da_001	beredskabssoldat
C000985_da_002	kommandosoldat
C000985_da_003	officer
C000985_da_004	officer i specialstyrkerne
C000985_da_005	terrorbekæmpelsesofficer
C000986_da_000	kranfører - produktionsanlæg
C000986_da_001	brokranfører
C000986_da_002	dieselkranfører
C000986_da_003	drejekranfører
C000986_da_004	havnekranfører
C000986_da_005	konsolkranfører
C000986_da_006	kranfører
C000986_da_007	løbekranfører
C000986_da_008	portalkranfører
C000986_da_009	stålkranfører
C000986_da_010	vægdrejekranfører
C000987_da_000	teknisk tegner inden for elektromekanik
C000988_da_000	forsikringsanalytiker
C000989_da_000	operatør af en vandstråleskærer
C000989_da_001	industrioperatør
C000989_da_002	maskinoperatør
C000989_da_003	operatør af en CNC-styret vandskærer
C000989_da_004	operatør af en vandskæremaskine
C000989_da_005	operatør af en vandskærer
C000990_da_000	produktionsmedarbejder i bryggeri
C000990_da_001	bryggerimedarbejder
C000990_da_002	operatør i ølbryggeri
C000990_da_003	produktionsmedarbejder i bryghus
C000991_da_000	arbejdsleder inden for stærkstrømsinstallationer
C000991_da_001	arbejdsleder inden for elledningsinstallationer
C000991_da_002	arbejdsleder inden for kabelinstallationer
C000991_da_003	arbejdsleder inden for ledningsinstallationer
C000992_da_000	operatør af brændstofsystemer til luftfartøjer
C000992_da_001	brændstofoperatør
C000992_da_002	brændstofpåfylder
C000993_da_000	danselærer
C000993_da_001	danseinstruktør
C000993_da_002	dansemester
C000994_da_000	hundefører
C000994_da_001	hundeførere
C000994_da_002	person der fører et dyr
C000995_da_000	import- og eksportchef inden for blomster og planter
C000995_da_001	assistent for eksportchef inden for blomster og planter
C000995_da_002	assistent importchef inden for blomster og planter
C000995_da_003	international handelschef inden for blomster og planter
C000996_da_000	specialundervisningsassistent
C000996_da_001	assistent inden for specialundervisning
C000997_da_000	assistent i omklædningsrum
C000997_da_001	receptionist
C000997_da_002	vært
C000997_da_003	værtinde
C000998_da_000	mobilkranfører
C000998_da_001	kranfører
C000998_da_002	lastbilskranfører
C000998_da_003	minikranfører
C000999_da_000	energihandler
C000999_da_001	energimarkedsanalytiker
C001000_da_000	kloakrenser
C001001_da_000	familieplejekonsulent
C001001_da_001	anbringelsesansvarlig
C001001_da_002	familieplejeassistent
C001001_da_003	familieplejemedarbejder
C001001_da_004	socialrådgiver
C001001_da_005	støtteperson i forbindelse med anbringelse
C001002_da_000	revisorassistent
C001002_da_001	økonomimedarbejder
C001003_da_000	landbrugstekniker
C001003_da_001	agronom
C001003_da_002	jordbrugsteknolog
C001003_da_003	landbrugskonsulent
C001004_da_000	kvalitetschef inden for lædervarer
C001005_da_000	komponenttekniker
C001005_da_001	monteringstekniker
C001006_da_000	VVS-tekniker
C001006_da_001	VVS-ingeniør
C001006_da_002	varme- og ventilationstekniker
C001007_da_000	diplomat
C001007_da_001	FN-diplomat
C001007_da_002	attaché
C001007_da_003	delegeret
C001007_da_004	diplomatisk embedsmand
C001007_da_005	højkommissær
C001008_da_000	maskinoperatør inden for vinproduktion
C001008_da_001	maskinfører inden for vinavl
C001008_da_002	maskinfører inden for vindyrkning
C001008_da_003	maskinfører inden for vinproduktion
C001008_da_004	maskinfører på en vingård
C001008_da_005	maskinoperatør inden for vinavl
C001008_da_006	maskinoperatør inden for vindyrkning
C001008_da_007	maskinoperatør på en vingård
C001009_da_000	lods
C001009_da_001	skibslods
C001009_da_002	styrmand
C001010_da_000	systemingeniør inden for energiforsyning
C001010_da_001	energiingeniør
C001010_da_002	systemingeniør
C001011_da_000	elektromagnetikingeniør
C001011_da_001	elektroingeniør
C001012_da_000	ansvarlig inden for skibsmontage
C001012_da_001	ansvarlig inden for bådmontage
C001012_da_002	kvalitetsinspektør inden for bådmontage
C001012_da_003	kvalitetsinspektør inden for skibsmontage
C001013_da_000	arkæolog
C001013_da_001	marinarkæolog
C001013_da_002	middelalderarkæolog
C001014_da_000	flytteprojektleder
C001014_da_001	konsulent i forbindelse med personaleflytning
C001014_da_002	leder af personaleflytning
C001014_da_003	specialist i flytning af personale
C001015_da_000	dykker inden for akvakultur
C001015_da_001	erhvervsdykker
C001015_da_002	perledykker
C001016_da_000	havbrugsarbejder
C001016_da_001	høstearbejder inden for akvakultur - til lands
C001016_da_002	muslingehøster
C001016_da_003	skaldyrshøster
C001016_da_004	tanghøster
C001017_da_000	business intelligence manager
C001017_da_001	erhvervsstrategisk chef
C001018_da_000	operatør af automatisk skæresystem
C001018_da_001	procesoperatør
C001019_da_000	faglig tillidsmand
C001019_da_001	fagforeningsmand
C001019_da_002	fagpolitisk konsulent
C001019_da_003	personalerepræsentant
C001019_da_004	tillidsmand
C001020_da_000	arbejdsleder inden for betonarbejder
C001020_da_001	arbejdsleder inden for cementmurerarbejder
C001020_da_002	betonarbejdsleder
C001021_da_000	idrætsleder
C001021_da_001	sportsklubleder
C001022_da_000	leder inden for vinproduktion
C001022_da_001	driftsleder inden for vinavl
C001022_da_002	driftsleder inden for vindyrkning
C001022_da_003	driftsleder inden for vinproduktion
C001022_da_004	leder inden for vinavl
C001022_da_005	leder inden for vindyrkning
C001023_da_000	autoglasmontør
C001023_da_001	bilglasmontør
C001024_da_000	bed and breakfast-vært
C001024_da_001	B&B-vært
C001025_da_000	kontrolrumsoperatør på olieraffinaderi
C001025_da_001	operatør på olieraffinaderi
C001026_da_000	maskinoperatør - fremstilling af finér
C001026_da_001	finérskærer
C001026_da_002	finérspecialist
C001026_da_003	industrioperatør
C001026_da_004	operatør af finérskæremaskine
C001027_da_000	omkostningsberegner
C001027_da_001	cost estimator
C001028_da_000	togklargører
C001029_da_000	maskinoperatør - prøvefarvning
C001029_da_001	operatør af farvemaskine
C001029_da_002	procesoperatør
C001030_da_000	måleansvarlig
C001030_da_001	olieraffinaderiarbejder
C001030_da_002	procesoperatør - måling
C001031_da_000	arrangør
C001031_da_001	eventarrangør
C001031_da_002	eventkoordinator
C001031_da_003	eventorganisator
C001031_da_004	koncertarrangør
C001031_da_005	koncertpromoter
C001031_da_006	promoter
C001031_da_007	turnéarrangør
C001032_da_000	reklamekampagneassistent
C001032_da_001	markedsføringsassistent
C001033_da_000	skadedyrsbekæmper
C001033_da_001	desinfektør
C001034_da_000	finansplanlægger
C001034_da_001	formuerådgiver
C001035_da_000	instruktør i taleteknik
C001035_da_001	instruktør i talekunst
C001035_da_002	retoriklærer
C001035_da_003	talecoach
C001036_da_000	vandvejarbejder
C001037_da_000	industritekniker - tekstilfarvning
C001037_da_001	farveekspert
C001038_da_000	maskinoperatør - metalmøbler
C001038_da_001	maskinarbejder
C001038_da_002	maskinpasser
C001039_da_000	cirkusartist
C001039_da_001	akrobat
C001039_da_002	balanceartist
C001039_da_003	domptør
C001039_da_004	dressør
C001039_da_005	dyretæmmer
C001039_da_006	ekvilibrist
C001039_da_007	fakir
C001039_da_008	ildsluger
C001039_da_009	jonglør
C001039_da_010	klovn
C001039_da_011	knivkaster
C001039_da_012	linedanser
C001039_da_013	linedanserinde
C001039_da_014	luftakrobat
C001039_da_015	løvetæmmer
C001039_da_016	sabelsluger
C001039_da_017	slangetæmmer
C001039_da_018	trapezakrobat
C001039_da_019	tryllekunstner
C001039_da_020	tyrefægter
C001040_da_000	kvalitetsinspektør inden for elektronisk udstyr
C001041_da_000	grøn IKT-konsulent
C001041_da_001	grøn IT-konsulent
C001041_da_002	grønne IKT-konsulenter
C001041_da_003	konsulent i bæredygtige IKT-systemer
C001041_da_004	konsulent i grønne IKT-systemer
C001042_da_000	maskinskriver
C001042_da_001	stenograf
C001042_da_002	tastemedarbejder
C001043_da_000	operatør af en formemaskine
C001043_da_001	industrioperatør
C001043_da_002	maskinoperatør
C001043_da_003	operatør, formemaskine
C001044_da_000	sagsbehandler inden for tvangsauktioner over fast ejendom
C001044_da_001	insolvenssagsbehandler
C001045_da_000	aktivitetsleder
C001046_da_000	operatør af luftseparationsanlæg
C001047_da_000	maskinoperatør - blanding af lak
C001047_da_001	lakblander
C001047_da_002	malingblander
C001047_da_003	procesoperatør
C001048_da_000	masteringtekniker
C001048_da_001	lydingeniør
C001049_da_000	skifteleder inden for minedrift
C001050_da_000	energistyringskonsulent
C001050_da_001	energieffektivitetskonsulent
C001050_da_002	energikonsulent
C001051_da_000	distributionschef inden for blomster og planter
C001051_da_001	assistent for distributionschef inden for blomster og planter
C001051_da_002	logistikchef inden for blomster og planter
C001051_da_003	supply chain manager inden for blomster og planter
C001052_da_000	møbelrenser
C001052_da_001	møbelpolstrer
C001052_da_002	polstrer
C001053_da_000	billedsætter
C001053_da_001	fotosætter
C001053_da_002	grafisk tekniker
C001054_da_000	tolk
C001054_da_001	fjerntolk
C001054_da_002	konferencetolk
C001054_da_003	polititolk
C001054_da_004	simultantolk
C001054_da_005	telefontolk
C001054_da_006	translatør
C001054_da_007	videotolk
C001055_da_000	maskinsmører
C001055_da_001	vognsmører
C001056_da_000	mekaniker inden for roterende udstyr
C001056_da_001	industrimekaniker
C001056_da_002	industritekniker
C001056_da_003	maskinmekaniker
C001056_da_004	maskinreparatør
C001056_da_005	mekaniker, roterende udstyr
C001056_da_006	reparatør, roterende udstyr
C001057_da_000	studievejleder
C001057_da_001	studenterrådgiver
C001057_da_002	studentersagsbehandler
C001057_da_003	studiekonsulent
C001057_da_004	uddannelsesvejleder
C001058_da_000	satellittekniker
C001059_da_000	industrioperatør - dækproduktion
C001059_da_001	dækbygger
C001059_da_002	medarbejder på dækfabrik
C001059_da_003	operatør til dækproduktion
C001060_da_000	distributionschef inden for computere, perifere enheder og software
C001060_da_001	assistent for distributionschef inden for computere, ydre enheder og software
C001060_da_002	logistikchef inden for computere, ydre enheder og software
C001060_da_003	supply chain manager inden for computere, ydre enheder og software
C001061_da_000	dybhavsfisker
C001061_da_001	fisker
C001062_da_000	investeringsrådgiver for erhvervskunder
C001063_da_000	fabriksmedarbejder - rengøring og lager
C001063_da_001	fabriksarbejder
C001063_da_002	fabriksmedarbejder
C001064_da_000	maskiningeniør inden for roterende udstyr
C001064_da_001	ingeniør inden for roterende udstyr
C001065_da_000	valgobservatør
C001066_da_000	trappemontør
C001067_da_000	chauffør til skraldevogn
C001067_da_001	chauffør til skraldebil
C001067_da_002	skraldemand
C001068_da_000	produktionsarbejder - medicinsk udstyr
C001068_da_001	industrioperatør
C001069_da_000	distributionschef inden for farmaceutiske produkter
C001069_da_001	assistent for distributionschef inden for farmaceutiske produkter
C001069_da_002	logistikchef inden for farmaceutiske produkter
C001069_da_003	supply chain manager inden for farmaceutiske produkter
C001070_da_000	dieselmotormekaniker
C001070_da_001	automekaniker
C001070_da_002	dieselmotorreparatør
