C000001_es_000	Ocupaciones militares
C001215_es_000	operador de nitrificación/operadora de nitrificación
C001215_es_001	operador de nitrificación
C001215_es_002	operadora de nitrificación
C001216_es_000	director financiero/directora financiera
C001216_es_001	director financiero
C001216_es_002	directora financiera
C001217_es_000	operador de destilación de petróleo/operadora de destilación de petróleo
C001217_es_001	operador de destilación de petróleo
C001217_es_002	operador de refinería de petróleo
C001217_es_003	operadora de destilación de petróleo
C001217_es_004	operadora de refinería de petróleo
C001217_es_005	técnica de destilación de petróleo
C001217_es_006	técnica de refinería de petróleo
C001217_es_007	técnico de destilación de petróleo
C001217_es_008	técnico de refinería de petróleo
C001218_es_000	operador de máquina de soldadura por onda/operadora de máquina de soldadura por onda
C001218_es_001	operador de máquina de soldadura por ola
C001218_es_002	operador de máquina de soldadura por onda
C001218_es_003	operador de máquina de soldadura por onda de componentes electrónicos
C001218_es_004	operadora de máquina de soldadura por ola
C001218_es_005	operadora de máquina de soldadura por onda
C001218_es_006	operadora de máquina de soldadura por onda de componentes electrónicos
C001219_es_000	director de producción de cuero/directora de producción de cuero
C001219_es_001	director de producción de artículos de piel y cuero
C001219_es_002	director de producción de marroquinería
C001219_es_003	directora de producción de artículos de piel y cuero
C001219_es_004	directora de producción de marriquinería
C001220_es_000	vigilante de seguridad
C001220_es_001	guarda de seguridad
C001221_es_000	asesor jurídico/asesora jurídica
C001221_es_001	asesor jurídico
C001221_es_002	asesora jurídica
C001222_es_000	técnico de reproducción asistida animal por transferencia de embriones/técnica de reproducción asistida animal por transferencia de embriones
C001222_es_001	transferidor de embriones de animales
C001222_es_002	transferidora de embriones animales
C001222_es_003	técnica de reproducción asistida animal
C001222_es_004	técnica de reproducción asistida animal por transferencia de embriones
C001222_es_005	técnica de transferencia de embriones animales
C001222_es_006	técnica especializada en transferencia de embriones animales
C001222_es_007	técnico de reproducción asistida animal
C001222_es_008	técnico de reproducción asistida animal por transferencia de embriones
C001222_es_009	técnico de transferencia de embriones animales
C001222_es_010	técnico especializado en transferencia de embriones animales
C001223_es_000	técnico en biología/técnica en biología
C001223_es_001	técnica analista de laboratorio de biología
C001223_es_002	técnica en biología
C001223_es_003	técnica en laboratorio biológico
C001223_es_004	técnico analista de laboratorio de biología
C001223_es_005	técnico en biología
C001223_es_006	técnico en laboratorio biológico
C001224_es_000	médium
C001225_es_000	almacenero de fábrica de marroquinería/almacenera de fábrica de marroquinería
C001225_es_001	almacenera de fábrica de marroquinería
C001225_es_002	almacenero de fábrica de marroquinería
C001226_es_000	especialista en importación y exportación de madera y materiales de construcción
C001226_es_001	administrador de importación y exportación
C001226_es_002	administradora de importación y exportación
C001226_es_003	especialista en logística de madera y materiales de construcción
C001226_es_004	técnica superior en comercio internacional
C001226_es_005	técnico superior en comercio internacional
C001227_es_000	técnico en acuicultura en jaulas/técnica en acuicultura en jaulas
C001227_es_001	técnica en acuicultura en jaulas
C001227_es_002	técnica en piscifactoría
C001227_es_003	técnico en acuicultura en jaulas
C001227_es_004	técnico en piscifactoría
C001228_es_000	especialista en importación y exportación de materias primas agrícolas, semillas, piensos y forrajes
C001228_es_001	administrador de importación y exportación
C001228_es_002	administradora de importación y exportación
C001228_es_003	especialista en logística de materias primas agrícolas, semillas y piensos
C001228_es_004	técnica superior en comercio internacional
C001228_es_005	técnico superior en comercio internacional
C001229_es_000	ingeniero de minas especializado en el impacto medioambiental de la minería/ingeniera de minas especializada en el impacto medioambiental de la minería
C001229_es_001	ingeniera de minas especializada en impacto ambiental de la minería
C001229_es_002	ingeniero de minas especializado en impacto ambiental de la minería
C001230_es_000	operario de refinería de azúcar/operaria de refinería de azúcar
C001230_es_001	encargada de la carga de productos de azúcar a granel
C001230_es_002	encargado de la carga de productos de azúcar a granel
C001230_es_003	operaria de refinería de azúcar
C001230_es_004	operario de refinería de azúcar
C001230_es_005	responsable de la carga de productos de azúcar a granel
C001231_es_000	especialista en control y aseguramiento de la calidad en la construcción
C001232_es_000	inspector de instalaciones y de seguridad industrial/inspectora de instalaciones y de seguridad industrial
C001232_es_001	inspector de instalaciones y de seguridad industrial
C001232_es_002	inspectora de instalaciones y de seguridad industrial
C001233_es_000	administrador de sistemas de archivo y transmisión de imágenes/administradora de sistemas de archivo y transmisión de imágenes
C001233_es_001	administrador de PACS
C001233_es_002	administrador de RIS y PACS
C001233_es_003	administrador de sistemas
C001233_es_004	administrador de sistemas de archivo y transmisión de imágenes
C001233_es_005	administradora de PACS
C001233_es_006	administradora de RIS y PACS
C001233_es_007	administradora de sistemas
C001233_es_008	administradora de sistemas de archivo y transmisión de imágenes
C001233_es_009	analista de sistemas PACS
C001233_es_010	técnica en sistemas de información
C001233_es_011	técnico en sistemas de información
C001234_es_000	técnico dental equino/técnica dental equina
C001234_es_001	dentista equino/equina
C001234_es_002	dentistas de caballos
C001234_es_003	técnica dental de animales equinos
C001234_es_004	técnica dental de caballos
C001234_es_005	técnica dental equina
C001234_es_006	técnico dental de animales equinos
C001234_es_007	técnico dental de caballos
C001234_es_008	técnico dental equino
C001235_es_000	director del departamento de créditos en entidad bancaria/directora del departamento de créditos en entidad bancaria
C001235_es_001	director del departamento de créditos en entidad bancaria
C001235_es_002	directora del departamento de créditos en entidad bancaria
C001235_es_003	gerente del departamento de créditos
C001235_es_004	supervisor crediticio
C001235_es_005	supervisora crediticia
C001236_es_000	técnico de impresión textil/técnica de impresión textil
C001236_es_001	técnica de impresión textil
C001236_es_002	técnica de serigrafía textil
C001236_es_003	técnico de impresión textil
C001236_es_004	técnico de serigrafía textil
C001237_es_000	funcionario de prisiones/funcionaria de prisiones
C001237_es_001	funcionaria de prisiones
C001237_es_002	funcionario de prisiones
C001238_es_000	mecánico de bicicletas/mecánica de bicicletas
C001238_es_001	mecánica de bicicletas
C001238_es_002	mecánico de bicicletas
C001238_es_003	técnica de ciclomotores
C001238_es_004	técnico de ciclomotores
C001239_es_000	electricista de obras
C001239_es_001	electricista de la construcción
C001240_es_000	monje/monja
C001240_es_001	monja
C001240_es_002	monje
C001241_es_000	especialista en importación y exportación de carne y productos cárnicos
C001241_es_001	administrador de importación y exportación
C001241_es_002	administradora de importación y exportación
C001241_es_003	especialista en logística de carne y productos cárnicos
C001241_es_004	técnica superior en comercio internacional
C001241_es_005	técnico superior en comercio internacional
C001242_es_000	terapeuta ocupacional
C001242_es_001	experta en terapia ocupacional
C001242_es_002	experto en terapia ocupacional
C001243_es_000	director de salón de belleza/directora de salón de belleza
C001243_es_001	director de salón de belleza
C001243_es_002	directora de salón de belleza
C001243_es_003	gerente de centro de estética
C001243_es_004	gerente de salón de belleza
C001244_es_000	probador de videojuegos/probadora de videojuegos
C001244_es_001	comprobador de juegos digitales
C001244_es_002	comprobadora de juegos digitales
C001244_es_003	evaluador de juegos digitales
C001244_es_004	evaluadora de juegos digitales
C001244_es_005	probador de juegos de ordenador
C001244_es_006	probador de juegos digitales
C001244_es_007	probador de juegos virtuales
C001244_es_008	probador de videojuegos
C001244_es_009	probadora de juegos de ordenador
C001244_es_010	probadora de juegos digitales
C001244_es_011	probadora de juegos virtuales
C001244_es_012	probadora de videojuegos
C001244_es_013	tester de juegos digitales
C001245_es_000	analista de alimentos
C001245_es_001	analista alimentario
C001245_es_002	responsable de análisis alimentarios
C001245_es_003	responsable del análisis de alimentos
C001246_es_000	ingeniero industrial especializado en maquinaria de refrigeración del pescado/ingeniera industrial especializada en maquinaria de refrigeración del pescado
C001246_es_001	especialista en procesos de refrigeración del pescado
C001246_es_002	ingeniera de maquinaria en buques pesqueros
C001246_es_003	ingeniera industrial especializada en maquinaria de refrigeración del pescado
C001246_es_004	ingeniera industrial especializada en plantas de refrigeración del pescado
C001246_es_005	ingeniera industrial especializada en refrigeración del pescado en buques pesqueros
C001246_es_006	ingeniero de maquinaria en buques pesqueros
C001246_es_007	ingeniero industrial especializado en maquinaria de refrigeración del pescado
C001246_es_008	ingeniero industrial especializado en plantas de refrigeración del pescado
C001246_es_009	ingeniero industrial especializado en refrigeración del pescado en buques pesqueros
C001247_es_000	cuidador infantil/cuidadora infantil
C001247_es_001	cuidador de niños
C001247_es_002	cuidador infantil
C001247_es_003	cuidadora de niños
C001247_es_004	cuidadora infantil
C001248_es_000	operador de máquinas de empenachar alfombras/operadora de máquinas de empenachar alfombras
C001248_es_001	operador de máquinas de empenachar alfombras
C001248_es_002	operadora de máquinas de empenachar alfombras
C001249_es_000	ingeniero técnico de automoción especializado en diseño técnico/ingeniera técnica de automoción especializada en diseño técnico
C001249_es_001	diseñador técnico industrial
C001249_es_002	diseñadora técnica industrial
C001249_es_003	especialista en diseño de automoción
C001249_es_004	ingeniera técnica de automoción especializada en diseño técnico
C001249_es_005	ingeniera técnica del automóvil especializada en diseño técnico
C001249_es_006	ingeniera técnica industrial del sector automoción
C001249_es_007	ingeniero técnico de automoción especializado en diseño técnico
C001249_es_008	ingeniero técnico del automóvil especializado en diseño técnico
