C000001_sk_000	Príslušníci ozbrojených síl
C000878_sk_003	výrobca ortopedickej obuvi
C000878_sk_004	výrobkyňa ortopedickej obuvi
C000879_sk_000	operátor/operátorka pletiarskeho stroja
C000879_sk_001	operátor pletiarskeho stroja
C000879_sk_002	operátor stroja na pletenie
C000879_sk_003	operátorka pletiarskeho stroja
C000879_sk_004	operátorka stroja na pletenie
C000879_sk_005	strojná pletiarka
C000879_sk_006	strojný pletiar
C000880_sk_000	maliar/maliarka
C000880_sk_001	maliar
C000880_sk_002	maliarka
C000881_sk_000	dizajnér/dizajnérka systémov dátových skladov
C000881_sk_001	dizajnér systémov dátových skladov
C000881_sk_002	dizajnérka systémov dátových skladov
C000882_sk_000	technik reštaurátor/technička reštaurátorka
C000882_sk_001	technik reštaurátor
C000882_sk_002	technička reštaurátorka
C000883_sk_000	pracovník/pracovníčka skladu bielizne
C000883_sk_001	personál zodpovedný za bielizeň a uniformy
C000883_sk_002	pracovník práčovne bielizne
C000883_sk_003	pracovník čistiarne bielizne
C000883_sk_004	pracovníčka práčovne bielizne
C000883_sk_005	pracovníčka čistiarne bielizne
C000884_sk_000	veterinárny inseminačný technik/veterinárna inseminačná technička
C000884_sk_001	inseminátor zvierat
C000884_sk_002	inseminátorka zvierat
C000884_sk_003	veterinárna inseminačná laborantka
C000884_sk_004	veterinárna inseminačná technička
C000884_sk_005	veterinárna inseminátorka
C000884_sk_006	veterinárny inseminačný laborant
C000884_sk_007	veterinárny inseminačný technik
C000884_sk_008	veterinárny inseminátor
C000885_sk_000	montážnik/montážnička optických prístrojov
C000885_sk_001	montážnik optických prístrojov
C000885_sk_002	montážnička optických prístrojov
C000886_sk_000	pracovník chovateľskej stanice/pracovníčka chovateľskej stanice
C000886_sk_001	pracovník chovateľskej stanice
C000886_sk_002	pracovníčka chovateľskej stanice
C000887_sk_000	poistný matematik/poistná matematička
C000887_sk_001	poistná matematička
C000887_sk_002	poistný matematik
C000888_sk_000	operátor/operátorka stroja na miešanie pesticídov
C000888_sk_001	operátor stroja na miešanie pesticídov
C000888_sk_002	operátorka stroja na miešanie pesticídov
C000889_sk_000	špecialista/špecialistka v oblasti predpredaja IT
C000889_sk_001	odborník v oblasti predpredaja IKT
C000889_sk_002	odborníčka v oblasti predpredaja IKT
C000889_sk_003	špecialista na predpredajné služby IT
C000889_sk_004	špecialista v oblasti predpredaja IT
C000889_sk_005	špecialistka na predpredajné služby IT
C000889_sk_006	špecialistka v oblasti predpredaja IT
C000890_sk_000	vedúci/vedúca popredajného servisu motorových vozidiel
C000890_sk_001	vedúca popredajného servisu motorových vozidiel
C000890_sk_002	vedúci popredajného servisu motorových vozidiel
C000891_sk_000	operátor/operátorka stroja na rezanie plazmou
C000891_sk_001	operátor stroja na rezanie plazmou
C000891_sk_002	operátorka stroja na rezanie plazmou
C000892_sk_000	operátor/operátorka stroja na rezanie dielov obuvi
C000892_sk_001	operátor stroja na rezanie dielov obuvi
C000892_sk_002	operátorka stroja na rezanie dielov obuvi
C000893_sk_000	dispečer/dispečerka elektrárne na fosílne palivo
C000893_sk_001	dispečer elektrárne na fosílne palivo
C000893_sk_002	dispečerka elektrárne na fosílne palivo
C000894_sk_000	technik/technička chemickej kvality textilu
C000894_sk_001	technik chemickej kvality textilu
C000894_sk_002	technička chemickej kvality textilu
C000895_sk_000	supervízor/supervízorka v jemnej mechanike
C000895_sk_001	supervízor v jemnej mechanike
C000895_sk_002	supervízorka v jemnej mechanike
C000896_sk_000	zvárač špecialista/zváračka špecialistka
C000896_sk_001	zvárač špecialista
C000896_sk_002	zváračka špecialistka
C000897_sk_000	operátor/operátorka stroja na napínanie zvrškov
C000897_sk_001	operátor stroja na napínanie zvrškov
C000897_sk_002	operátorka stroja na napínanie zvrškov
C000898_sk_000	technik/technička anestézie
C000898_sk_001	technik anestézie
C000898_sk_002	technička anestézie
C000899_sk_000	operátor/operátorka zariadenia na výrobu omáčok
C000899_sk_001	operátor zariadenia na výrobu omáčok
C000899_sk_002	operátorka zariadenia na výrobu omáčok
C000900_sk_000	biofyzik/biofyzička
C000900_sk_001	biofyzik
C000900_sk_002	biofyzička
C000901_sk_000	veľkoobchodný sprostredkovateľ/veľkoobchodná sprostredkovateľka v oblasti tovaru pre domácnosť
C000901_sk_001	veľkoobchodná sprostredkovateľka v oblasti tovaru pre domácnosť
C000901_sk_002	veľkoobchodný sprostredkovateľ v oblasti tovaru pre domácnosť
C000902_sk_000	manažér/manažérka dovozu a vývozu železiarskeho tovaru, inštalatérskych a vykurovacích zariadení a potrieb
C000902_sk_001	manažér dovozu a vývozu železiarskeho tovaru, inštalatérskych a vykurovacích zariadení a potrieb
C000902_sk_002	manažérka dovozu a vývozu železiarskeho tovaru, inštalatérskych a vykurovacích zariadení a potrieb
C000903_sk_000	koordinátor/koordinátorka poľnohospodárskych strojov
C000903_sk_001	koordinátor poľnohospodárskych strojov
C000903_sk_002	koordinátorka poľnohospodárskych strojov
C000903_sk_003	majster poľnohospodárskej techniky
C000903_sk_004	majsterka poľnohospodárskej techniky
C000903_sk_005	riadiaca pracovníčka poľnohospodárskej techniky
C000903_sk_006	riadiaca pracovníčka poľnohospodárskych zariadení
C000903_sk_007	riadiaci pracovník poľnohospodárskej techniky
C000903_sk_008	riadiaci pracovník poľnohospodárskych zariadení
C000903_sk_009	vedúca poľnohospodárskych strojov
C000903_sk_010	vedúci poľnohospodárskych strojov
C000904_sk_000	banský geológ/banská geologička
C000904_sk_001	banská geologička
C000904_sk_002	banský geológ
C000905_sk_000	značkovač/značkovačka cigár
C000905_sk_001	označovač cigár
C000905_sk_002	označovačka cigár
C000905_sk_003	prípravár cigár
C000905_sk_004	prípravárka cigár
C000905_sk_005	značkovač cigár
C000905_sk_006	značkovačka cigár
C000906_sk_000	spájkovač/spájkovačka
C000906_sk_001	spájkovač
C000906_sk_002	spájkovačka
C000907_sk_000	montážnik/montážnička zubárskych nástrojov a zariadení
C000907_sk_001	montážnik zubárskych nástrojov a zariadení
C000907_sk_002	montážnička zubárskych nástrojov a zariadení
C000908_sk_000	učiteľ/učiteľka odborných predmetov v oblasti hotelierstva
C000908_sk_001	učiteľ odborných predmetov v oblasti hoteliérstva
C000908_sk_002	učiteľka odborných predmetov v oblasti hoteliérstva
C000909_sk_000	správca budov/správkyňa budov
C000909_sk_001	správca budov
C000909_sk_002	správca budovy
C000909_sk_003	správkyňa budov
C000909_sk_004	správkyňa budovy
C000910_sk_000	modelár/modelárka odevov
C000910_sk_001	modelár odevov
C000910_sk_002	modelárka odevov
C000911_sk_000	montážnik/montážnička munície
C000911_sk_001	montážnik munície
C000911_sk_002	montážnička munície
C000912_sk_000	operátor/operátorka rycieho stroja
C000912_sk_001	operátor rycieho stroja
C000912_sk_002	operátorka rycieho stroja
C000913_sk_000	technik/technička protiradiačnej ochrany
C000913_sk_001	technik protiradiačnej ochrany
C000913_sk_002	technička protiradiačnej ochrany
C000914_sk_000	vývojár/vývojárka hazardných, stávkových a lotériových hier
C000914_sk_001	vývojár hazardných, stávkových a lotériových hier
C000914_sk_002	vývojárka hazardných, stávkových a lotériových hier
C000915_sk_000	expert/expertka na sociálnu prácu
C000915_sk_001	expert na sociálnu prácu
C000915_sk_002	expertka na sociálnu prácu
C000915_sk_003	konzultant v oblasti sociálnej práce
C000915_sk_004	konzultantka v oblasti sociálnej práce
C000916_sk_000	koordinátor/koordinátorka montáže strojov
C000916_sk_001	koordinátor montáže strojov
C000916_sk_002	koordinátorka montáže strojov
C000917_sk_000	choreograf/choreografka
C000917_sk_001	choreograf
C000917_sk_002	choreografka
C000918_sk_000	operátor/operátorka elektroerozívneho obrábacieho stroja
C000918_sk_001	operátor elektroerozívneho obrábacieho stroja
C000918_sk_002	operátorka elektroerozívneho obrábacieho stroja
C000919_sk_000	technik/technička v pletiarskej výrobe
C000919_sk_001	technik pletacích strojov
C000919_sk_002	technik v pletiarskej výrobe
C000919_sk_003	technička pletacích strojov
C000919_sk_004	technička v pletiarskej výrobe
C000920_sk_000	supervízor/supervízorka obkladacích prác
C000920_sk_001	supervízor obkladacích prác
C000920_sk_002	supervízorka obkladacích prác
C000921_sk_000	analytik/analytička fúzií a akvizícií
C000921_sk_001	analytik fúzií a akvizícií
C000921_sk_002	analytička fúzií a akvizícií
C000922_sk_000	pomocný námorník/pomocná námorníčka na rybárskom plavidle
C000922_sk_001	pomocná námorníčka na rybárskom plavidle
C000922_sk_002	pomocný námorník na rybárskom plavidle
C000923_sk_000	zdravotný brat špecialista/zdravotná sestra špecialistka
C000923_sk_001	zdravotná sestra špecialistka
C000923_sk_002	zdravotný brat špecialista
C000924_sk_000	lešenár/lešenárka
C000924_sk_001	lešenár
C000924_sk_002	lešenárka
C000924_sk_003	montér lešení
C000924_sk_004	montérka lešení
C000924_sk_005	staviteľ lešení
C000924_sk_006	staviteľka lešení
C000925_sk_000	supervízor/supervízorka tapetovacích prác
C000925_sk_001	supervízor tapetovacích prác
C000925_sk_002	supervízorka tapetovacích prác
C000926_sk_000	veľvyslanec/veľvyslankyňa
C000926_sk_001	ambasádor
C000926_sk_002	ambasádorka
C000926_sk_003	veľvyslanec
C000926_sk_004	veľvyslankyňa
C000927_sk_000	konštruktér/konštruktérka digitálnych prototypov
C000927_sk_001	konštruktér digitálnych prototypov
C000927_sk_002	konštruktérka digitálnych prototypov
C000928_sk_000	masér/masérka
C000928_sk_001	masér
C000928_sk_002	masérka
C000929_sk_000	pracovník/pracovníčka sušiarne pyrotechniky
C000929_sk_001	pracovník sušiarne pyrotechniky
C000929_sk_002	pracovníčka sušiarne pyrotechniky
C000930_sk_000	vedúci/vedúca predajne domácich spotrebičov
C000930_sk_001	vedúca predajne domácich potrieb
C000930_sk_002	vedúca predajne domácich spotrebičov
C000930_sk_003	vedúci predajne domácich potrieb
C000930_sk_004	vedúci predajne domácich spotrebičov
C000931_sk_000	výrobca/výrobkyňa čembál
C000931_sk_001	výrobca čembál
C000931_sk_002	výrobkyňa čembál
C000932_sk_000	výškový montér/výšková montérka
C000932_sk_001	výšková montérka
C000932_sk_002	výškový montér
C000933_sk_000	vedecký pracovník/vedecká pracovníčka v oblasti médií
C000933_sk_001	vedecká pracovníčka v oblasti médií
C000933_sk_002	vedecký pracovník v oblasti médií
C000934_sk_000	školský sociálny pracovník/školská sociálna pracovníčka
C000934_sk_001	sociálna pracovníčka v školstve
C000934_sk_002	sociálny pracovník v školstve
C000934_sk_003	školská sociálna pracovníčka
C000934_sk_004	školský sociálny pracovník
C000935_sk_000	prekladateľ/prekladateľka
C000935_sk_001	prekladateľ
C000935_sk_002	prekladateľka
C000936_sk_000	montážnik/montážnička kotlov a tlakových nádob
C000936_sk_001	montážnik kotlov a tlakových nádob
C000936_sk_002	montážnička kotlov a tlakových nádob
C000937_sk_000	konzultant/konzultantka v oblasti sociálnych služieb
C000937_sk_001	konzultant v oblasti sociálnych služieb
C000937_sk_002	konzultantka v oblasti sociálnych služieb
C000938_sk_000	montážnik/montážnička mechatronických strojov a zariadení
C000938_sk_001	montážnik mechatronických strojov a zariadení
C000938_sk_002	montážnička mechatronických strojov a zariadení
C000939_sk_000	filmový a televízny režisér/filmová a televízna režisérka
C000939_sk_001	filmová a televízna režisérka
C000939_sk_002	filmový a televízny režisér
C000940_sk_000	úverový poradca/úverová poradkyňa
C000940_sk_001	úverová poradkyňa
C000940_sk_002	úverový poradca
C000941_sk_000	toaletár/toaletárka
C000941_sk_001	toaletár
C000941_sk_002	toaletárka
C000941_sk_003	upratovač toaliet
C000941_sk_004	upratovačka toaliet
C000942_sk_000	opravár/opravárka hodín a náramkových hodiniek
C000942_sk_001	opravár hodín a náramkových hodiniek
C000942_sk_002	opravárka hodín a náramkových hodiniek
C000943_sk_000	záhradný pracovník/záhradná pracovníčka
C000943_sk_001	ovocinár
C000943_sk_002	ovocinárka
C000943_sk_003	pestovateľ plodín
C000943_sk_004	pestovateľka plodín
C000943_sk_005	pomocná pracovníčka v rastlinnej výrobe
C000943_sk_006	pomocný pracovník v rastlinnej výrobe
C000943_sk_007	pracovník záhradného centra
C000943_sk_008	pracovník záhradníckej firmy
C000943_sk_009	pracovník záhradníctva
C000943_sk_010	pracovníčka záhradného centra
C000943_sk_011	pracovníčka záhradníckej firmy
C000943_sk_012	pracovníčka záhradníctva
C000943_sk_013	zberač ovocia a zeleniny
C000943_sk_014	zberačka ovocia a zeleniny
C000943_sk_015	záhradná pracovníčka
C000943_sk_016	záhradný pracovník
C000944_sk_000	inšpicient/inšpicientka
C000944_sk_001	inšpicient
C000944_sk_002	inšpicientka
C000945_sk_000	pekár/pekárka
C000945_sk_001	majster pekárenskej výroby
C000945_sk_002	majsterka pekárenskej výroby
C000945_sk_003	miesič
C000945_sk_004	miesička
C000945_sk_005	peciar
C000945_sk_006	peciarka
C000945_sk_007	pekár
C000945_sk_008	pekárka
C000945_sk_009	pečivár
C000945_sk_010	pečivárka
C000945_sk_011	pracovník pekárne
C000945_sk_012	pracovníčka pekárne
C000946_sk_000	technik/technička v čistiarni vôd
C000946_sk_001	technik v úpravni vôd
C000946_sk_002	technička v úpravni vôd
C000947_sk_000	stredoškolský učiteľ/stredoškolská učiteľka vedeckých predmetov
C000947_sk_001	stredoškolská učiteľka vedeckých predmetov
C000947_sk_002	stredoškolský učiteľ vedeckých predmetov
C000948_sk_000	finančný audítor/finančná audítorka
C000948_sk_001	audítor
C000948_sk_002	audítorka
C000948_sk_003	finančná audítorka
C000948_sk_004	finančný audítor
C000949_sk_000	hotelový domovník/hotelová domovníčka
C000949_sk_001	domovník
C000949_sk_002	domovníčka
C000949_sk_003	správca budovy
C000949_sk_004	správca zariadenia
C000949_sk_005	správkyňa budovy
C000949_sk_006	správkyňa zariadenia
C000950_sk_000	chemický špecialista technológ/chemická špecialistka technologička
C000950_sk_001	chemická špecialistka technologička
C000950_sk_002	chemický špecialista technológ
C000951_sk_000	organizátor/organizátorka podujatí
C000951_sk_001	eventová manažérka
C000951_sk_002	eventový manažér
C000951_sk_003	organizátor podujatí
C000951_sk_004	organizátorka podujatí
C000952_sk_000	vedúci/vedúca predajne zdravotníckeho tovaru
C000952_sk_001	vedúca lekárne
C000952_sk_002	vedúca predajne zdravotníckeho tovaru
C000952_sk_003	vedúci lekárne
C000952_sk_004	vedúci predajne zdravotníckeho tovaru
C000953_sk_000	inšpektor/inšpektorka bezpečnosti a ochrany zdravia v sektore dopravy
C000953_sk_001	inšpektor bezpečnosti a ochrany zdravia v sektore dopravy
C000953_sk_002	inšpektorka bezpečnosti a ochrany zdravia v sektore dopravy
C000954_sk_000	dispečer/dispečerka spracovania tekutých odpadov
C000954_sk_001	dispečer spracovania tekutých odpadov
C000954_sk_002	dispečerka spracovania tekutých odpadov
C000955_sk_000	operátor/operátorka strojov na výrobu obuvi
C000955_sk_001	operátor strojov na výrobu obuvi
C000955_sk_002	operátorka strojov na výrobu obuvi
C000956_sk_000	riadiaci pracovník pestovania plodín/riadiaca pracovníčka pestovania plodín
C000956_sk_001	agronóm
C000956_sk_002	agronómka
C000956_sk_003	koordinátor poľnohospodárskej produkcie
C000956_sk_004	koordinátorka poľnohospodárskej produkcie
C000956_sk_005	manažér pestovania plodín
C000956_sk_006	manažérka pestovania plodín
C000956_sk_007	riadiaca pracovníčka pestovania plodín
C000956_sk_008	riadiaci pracovník pestovania plodín
C000956_sk_009	vedúca pestovania poľnohospodárskych plodín
C000956_sk_010	vedúci pestovania poľnohospodárskych plodín
